time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
33076,33589,35143,32928,35360,20685,22376,33028,32252,29666,16698,29568,28208,28238,28740,
33132,33627,35152,32908,35292,20699,22383,33021,32253,29630,16712,29575,28258,28207,28741,
33183,33620,35128,32921,35286,20707,22361,33014,32252,29610,16726,29567,28229,28253,28720,
33234,33598,35105,32958,35272,20684,22383,33015,32221,29595,16691,29561,28258,28268,28733,
33286,33598,35175,32921,35300,20699,22418,33021,32282,29672,16676,29575,28222,28253,28734,
33337,33583,35121,32958,35326,20714,22397,33021,32228,29589,16698,29582,28207,28283,28733,
33389,33634,35144,32929,35279,20707,22376,33028,32244,29644,16669,29567,28236,28283,28719,
33439,33612,35136,32957,35306,20699,22376,33014,32274,29658,16726,29568,28222,28260,28727,
33490,33633,35174,32951,35326,20707,22354,33007,32244,29617,16691,29581,28207,28229,28733,
33541,33633,35152,32965,35347,20707,22369,33021,32291,29603,16712,29568,28229,28230,28719,
33592,33597,35105,32957,35272,20699,22375,33028,32298,29631,16690,29575,28229,28314,28720,
33643,33605,35128,33001,35299,20699,22411,33021,32274,29630,16712,29560,28229,28337,28726,
33694,33635,35136,32943,35265,20692,22347,33028,32266,29630,16691,29560,28229,28268,28719,
33745,33662,35190,32915,35292,20699,22397,33028,32213,29644,16719,29567,28244,28276,28733,
33796,33640,35105,32957,35285,20692,22397,33021,32212,29623,16712,29568,28222,28345,28712,
33847,33692,35152,32965,35279,20699,22397,33021,32243,29637,16698,29574,28236,28230,28734,
33898,33590,35182,32921,35279,20714,22397,33021,32298,29637,16662,29560,28229,28275,28747,
33949,33662,35128,32936,35299,20684,22390,33028,32228,29589,16683,29546,28222,28230,28733,
33999,33706,35112,32971,35279,20707,22418,33021,32268,29638,16676,29581,28237,28214,28734,
34051,33663,35151,33001,35285,20714,22383,33021,32221,29624,16676,29560,28229,28253,28720,
34102,33655,35128,32922,35285,20699,22433,33021,32236,29679,16691,29574,28229,28299,28712,
34153,33691,35159,32929,35286,20699,22354,33014,32251,29587,16726,29553,28236,28214,28733,
34204,33640,35120,32921,35313,20692,22368,33049,32221,29616,16719,29588,28236,28275,28726,
34255,33599,35143,32899,35319,20692,22404,33028,32260,29666,16683,29581,28200,28207,28733,
34305,33656,35105,32900,35319,20699,22354,33028,32213,29672,16669,29568,28222,28268,28740,
34356,33590,35097,32972,35333,20729,22390,33034,32243,29666,16684,29596,28208,28283,28719,
34407,33576,35120,32936,35319,20699,22361,33021,32305,29609,16747,29588,28244,28237,28733,
34458,33648,35121,32957,35313,20707,22369,33014,32275,29645,16698,29596,28215,28276,28727,
34509,33619,35120,32914,35279,20692,22411,33021,32267,29687,16740,29581,28258,28237,28733,
34560,33662,35128,32943,35326,20729,22404,33042,32259,29659,16691,29568,28222,28222,28726,
34611,33612,35128,32965,35272,20722,22361,33021,32236,29623,16733,29575,28215,28230,28726,
34662,33655,35136,32929,35293,20714,22369,33035,32229,29659,16690,29582,28229,28229,28719,
34713,33655,35182,32942,35299,20707,22404,33007,32236,29672,16691,29567,28179,28291,28733,
34764,33599,35120,32907,35285,20699,22440,33028,32259,29645,16712,29574,28236,28207,28727,
34815,33626,35128,32929,35340,20707,22376,33021,32221,29630,16676,29567,28229,28214,28726,
34865,33626,35128,32921,35279,20707,22376,33028,32228,29637,16669,29554,28186,28276,28726,
34916,33662,35120,32929,35313,20707,22411,33035,32236,29589,16676,29568,28280,28214,28740,
34967,33633,35113,32922,35313,20707,22368,33035,32298,29596,16662,29567,28229,28275,28726,
35018,33663,35136,32943,35272,20699,22354,33021,32237,29588,16726,29560,28236,28276,28726,
35069,33612,35136,32899,35272,20707,22354,33007,32214,29637,16691,29553,28258,28291,28740,
35120,33633,35120,32914,35286,20684,22404,33028,32305,29609,16684,29560,28229,28237,28726,
35171,33714,35121,32936,35313,20699,22340,33021,32229,29616,16690,29567,28200,28215,28733,
