time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
35065,33438,34812,32735,34986,20378,22116,32817,32289,29578,16936,29579,28251,28207,28760,
35118,33415,34851,32813,35026,20393,22102,32824,32320,29536,16957,29621,28237,28268,28767,
35169,33380,34859,32720,34993,20400,22095,32817,32289,29544,17021,29621,28280,28183,28767,
35220,33451,34851,32748,35000,20393,22095,32790,32335,29565,17007,29628,28244,28229,28781,
35271,33459,34866,32741,35047,20393,22095,32810,32320,29544,17035,29650,28229,28222,28767,
35322,33401,34843,32763,34992,20385,22131,32810,32296,29578,16936,29600,28279,28245,28753,
35373,33337,34890,32784,35067,20385,22095,32810,32304,29557,16957,29642,28222,28206,28767,
35424,33408,34828,32777,35068,20422,22109,32803,32304,29593,16971,29621,28237,28198,28760,
35474,33387,34859,32770,35006,20408,22102,32790,32305,29615,16943,29643,28222,28199,28774,
35525,33379,34882,32785,34993,20393,22116,32797,32358,29565,16943,29635,28251,28214,28767,
35576,33401,34812,32778,35033,20400,22095,32803,32304,29558,16957,29643,28244,28206,28781,
35627,33409,34851,32763,35026,20408,22109,32796,32312,29600,16985,29657,28251,28214,28774,
35677,33408,34843,32778,34999,20400,22095,32803,32304,29579,16957,29628,28229,28184,28767,
35728,33393,34859,32771,35033,20385,22095,32817,32304,29578,16957,29622,28251,28260,28781,
35779,33459,34835,32799,35027,20400,22130,32796,32297,29579,16936,29614,28244,28191,28767,
35830,33415,34820,32749,35000,20385,22145,32797,32358,29607,16978,29628,28266,28199,28753,
35881,33373,34858,32734,35006,20385,22095,32804,32304,29543,16986,29677,28259,28229,28774,
35932,33466,34812,32749,35053,20408,22081,32810,32313,29566,16950,29607,28251,28207,28767,
35983,33372,34867,32778,35020,20393,22074,32797,32289,29551,16950,29642,28244,28176,28746,
36034,33416,34843,32720,35006,20385,22138,32810,32335,29594,16943,29614,28222,28184,28753,
36085,33366,34828,32750,34986,20393,22109,32789,32304,29565,16943,29607,28229,28199,28760,
36136,33438,34820,32784,35013,20385,22138,32796,32297,29572,16985,29614,28237,28191,28760,
36187,33395,34897,32749,34999,20408,22124,32803,32305,29607,16957,29621,28266,28237,28767,
36239,33415,34812,32778,35068,20400,22117,32789,32304,29565,16943,29636,28258,28207,28781,
36289,33373,34843,32763,35027,20400,22116,32797,32304,29578,16964,29614,28251,28207,28760,
36340,33386,34844,32771,35006,20408,22088,32797,32296,29615,16957,29643,28251,28245,28753,
36391,33380,34820,32778,34999,20385,22131,32803,32312,29572,16936,29650,28280,28191,28767,
36441,33416,34851,32770,34985,20400,22138,32789,32304,29572,17020,29607,28251,28199,28767,
36492,33358,34827,32785,35013,20385,22095,32796,32304,29585,16964,29643,28294,28214,28767,
36543,33481,34836,32741,35019,20378,22152,32810,32304,29565,16992,29622,28244,28222,28753,
36594,33357,34813,32770,35006,20393,22095,32803,32297,29607,17035,29629,28229,28214,28781,
36644,33395,34859,32756,35047,20393,22095,32803,32296,29593,16957,29600,28273,28214,28774,
36695,33379,34874,32727,35087,20400,22138,32803,32336,29593,16992,29621,28244,28206,28760,
36747,33473,34828,32785,35033,20400,22088,32803,32282,29565,16957,29614,28258,28214,28781,
36797,33445,34866,32785,35053,20400,22123,32790,32304,29607,17006,29622,28237,28230,28760,
36848,33430,34827,32728,34999,20400,22102,32803,32304,29585,16957,29614,28244,28268,28767,
36900,33480,34828,32749,35013,20408,22102,32803,32304,29572,16929,29614,28251,28183,28767,
36950,33386,34835,32792,34972,20385,22145,32789,32342,29571,17035,29614,28236,28230,28774,
37001,33416,34851,32778,35067,20430,22116,32797,32312,29600,17035,29635,28244,28268,28760,
37052,33415,34812,32741,35061,20385,22095,32817,32328,29593,16964,29635,28280,28222,28760,
37103,33379,34867,32748,35013,20378,22131,32790,32298,29594,16943,29628,28251,28298,28774,
37154,33402,34844,32734,35061,20408,22081,32811,32335,29557,16957,29621,28229,28275,28760,
37206,33415,34851,32777,35000,20415,22109,32796,32304,29565,17006,29628,28237,28191,28760,
37256,33379,34851,32784,35053,20385,22088,32803,32313,29551,16999,29621,28244,28168,28774,
37307,33364,34928,32734,35067,20393,22095,32803,32296,29544,16957,29628,28236,28260,28781,
37372,33459,34812,32799,35040,20408,22102,32790,32311,29551,16943,29614,28244,28245,28781,
37434,33358,34797,32756,35033,20393,22088,32796,32312,29594,16957,29607,28287,28260,28774,
37485,33380,34890,32785,35013,20393,22102,32790,32312,29558,17020,29621,28244,28176,28767,
