time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
35312,33311,34786,32696,34902,20295,22079,32717,32039,29449,16622,29377,27971,28053,28573,
35364,33318,34779,32718,34971,20310,22051,32738,32072,29443,16693,29357,27987,28008,28581,
35415,33311,34795,32689,34971,20303,22058,32725,32063,29387,16636,29378,28016,28001,28588,
35466,33311,34856,32703,34909,20325,22058,32732,32095,29373,16629,29371,28015,28038,28602,
35517,33319,34787,32696,34896,20310,22073,32725,32064,29394,16650,29371,28037,28001,28574,
35568,33376,34779,32659,34903,20303,22079,32725,32117,29365,16615,29385,28030,28008,28588,
35619,33332,34779,32667,34896,20310,22065,32732,32101,29400,16586,29398,28008,28008,28574,
35670,33332,34810,32681,34930,20318,22094,32738,32078,29379,16615,29378,28008,28015,28595,
35721,33326,34794,32667,34896,20318,22079,32732,32063,29415,16593,29399,28022,28008,28574,
35772,33274,34771,32674,34896,20348,22094,32718,32070,29379,16636,29385,28008,28023,28588,
35823,33333,34809,32725,34916,20310,22051,32738,32078,29414,16629,29364,28022,28008,28581,
35873,33311,34826,32660,34875,20310,22058,32732,32086,29394,16608,29399,28015,28008,28594,
35943,33317,34786,32667,34937,20318,22044,32739,32086,29436,16678,29370,27993,28046,28581,
36023,33325,34763,32652,34902,20303,22051,32725,32110,29414,16643,29385,27994,28046,28588,
36073,33297,34756,32718,34902,20303,22065,32732,32072,29366,16572,29378,28029,27992,28581,
36124,33325,34779,32668,34896,20303,22080,32725,32086,29387,16594,29385,28030,28046,28581,
36176,33317,34825,32660,34916,20310,22044,32739,32086,29379,16629,29434,28008,28000,28574,
36226,33289,34802,32703,34930,20295,22058,32718,32072,29414,16636,29371,28015,27985,28588,
36277,33267,34848,32660,34923,20303,22079,32753,32079,29393,16572,29385,28001,27993,28581,
36328,33303,34779,32717,34957,20303,22037,32732,32079,29415,16643,29399,27994,27985,28581,
36379,33332,34794,32653,34930,20310,22072,32731,32086,29372,16629,29377,28080,28054,28574,
36430,33281,34787,32689,34902,20318,22072,32739,32071,29365,16579,29378,28015,28008,28581,
36481,33311,34825,32681,34882,20310,22037,32718,32063,29387,16586,29385,28015,27993,28602,
36532,33339,34786,32674,34883,20295,22086,32739,32117,29408,16587,29385,28001,28015,28581,
36582,33324,34795,32674,34936,20310,22072,32718,32086,29408,16615,29385,28015,28000,28574,
36635,33326,34794,32681,34923,20318,22065,32739,32071,29407,16565,29413,28008,28031,28588,
36686,33275,34771,32703,34896,20318,22051,32725,32048,29366,16586,29385,27993,28000,28595,
36737,33289,34818,32695,34929,20318,22080,32725,32070,29373,16622,29399,28022,28008,28567,
36788,33281,34794,32682,34917,20303,22044,32739,32063,29429,16572,29413,27993,28000,28581,
36839,33304,34786,32682,34875,20310,22065,32731,32071,29372,16600,29392,28001,28039,28574,
36890,33325,34771,32667,34923,20303,22072,32732,32078,29380,16608,29385,28015,27993,28581,
36941,33326,34849,32652,34971,20325,22094,32718,32064,29421,16608,29392,28037,28077,28588,
36992,33259,34818,32681,34930,20318,22072,32745,32086,29408,16608,29392,28008,28016,28574,
37042,33355,34786,32689,34910,20310,22065,32739,32087,29372,16608,29378,28008,28015,28588,
37093,33289,34756,32660,34943,20310,22051,32732,32072,29379,16678,29406,28008,28008,28581,
37144,33289,34786,32674,34916,20303,22044,32738,32079,29414,16636,29385,27994,28008,28587,
37194,33318,34794,32725,34916,20325,22051,32739,32086,29386,16615,29371,28001,28023,28581,
37245,33275,34787,32703,34923,20310,22101,32745,32063,29366,16587,29392,27987,28016,28581,
37296,33296,34755,32724,34882,20310,22087,32739,32064,29387,16643,29420,27979,28000,28588,
37347,33267,34779,32674,34902,20310,22080,32732,32124,29379,16629,29371,27987,28015,28581,
37398,33266,34795,32667,34937,20310,22065,32732,32086,29379,16587,29412,28037,28023,28581,
37448,33289,34763,32710,34971,20318,22037,32725,32079,29407,16579,29370,28015,27985,28588,
37500,33348,34833,32718,34889,20310,22058,32732,32071,29394,16615,29385,28008,28023,28560,
37551,33332,34779,32660,34889,20303,22044,32732,32087,29407,16636,29392,28001,28001,28574,
37601,33296,34810,32724,34923,20318,22065,32738,32064,29379,16629,29385,27979,28000,28581,
37652,33319,34802,32703,34971,20310,22065,32746,32086,29372,16593,29370,27994,28023,28567,
37703,33304,34771,32711,34916,20303,22094,32732,32079,29428,16608,29370,27987,28008,28574,
37754,33275,34825,32696,34951,20333,22065,32739,32094,29386,16593,29413,28000,28000,28595,
37805,33333,34786,32659,34909,20310,22044,32739,32063,29393,16615,29385,27987,28115,28581,
37856,33317,34779,32660,34957,20303,22072,32725,32079,29372,16636,29371,28001,28016,28581,
37906,33311,34787,32674,34903,20303,22065,32745,32079,29387,16622,29356,27979,28000,28574,
37957,33282,34740,32653,34943,20325,22051,32725,32071,29450,16622,29378,28023,28023,28567,
38008,33326,34779,32667,34875,20310,22044,32732,32071,29365,16594,29370,28037,28008,28588,
38059,33289,34771,32695,34923,20318,22030,32738,32125,29359,16600,29420,28001,28023,28567,
38110,33268,34756,32653,34909,20303,22051,32732,32148,29386,16586,29370,28008,28008,28588,
38161,33318,34810,32703,34889,20303,22051,32731,32065,29373,16601,29385,27979,28061,28574,
38211,33311,34817,32711,34869,20340,22072,32732,32094,29393,16636,29413,28008,27985,28595,
38262,33296,34826,32660,34957,20288,22058,32725,32087,29373,16643,29392,27986,28054,28581,
38313,33354,34795,32710,34923,20333,22101,32739,32063,29414,16594,29357,28001,28016,28581,
38364,33325,34809,32682,34909,20325,22079,32732,32087,29393,16601,29370,27987,28016,28581,
38415,33304,34833,32675,34964,20303,22079,32732,32117,29408,16587,29378,27986,28000,28567,
38466,33281,34779,32718,34943,20340,22079,32732,32094,29401,16608,29385,28001,28031,28574,
38517,33325,34755,32674,34896,20310,22044,32732,32070,29456,16650,29448,28008,28031,28574,
38567,33296,34779,32682,34916,20310,22065,32746,32071,29401,16608,29413,28015,28008,28581,
38619,33317,34810,32717,34930,20318,22051,32732,32086,29387,16650,29392,28037,28039,28581,
38670,33296,34787,32674,34943,20303,22058,32752,32079,29372,16636,29399,28015,28115,28574,
38721,33312,34756,32652,34950,20303,22086,32725,32086,29415,16593,29385,27994,28031,28567,
38772,33325,34755,32710,34910,20310,22065,32725,32087,29421,16622,29364,28001,28008,28574,
38823,33282,34779,32682,34883,20318,22080,32725,32087,29387,16608,29399,28022,28000,28567,
38874,33340,34802,32696,34902,20318,22101,32738,32095,29372,16600,29378,28037,28054,28574,
38925,33296,34779,32724,34923,20303,22094,32732,32078,29379,16622,29378,28001,28031,28581,
38975,33304,34802,32675,34902,20325,22072,32725,32064,29386,16629,29378,27994,28000,28581,
39026,33304,34795,32696,34889,20303,22065,32745,32087,29456,16636,29399,28008,28031,28588,
39077,33289,34794,32696,34889,20310,22065,32745,32063,29351,16622,29392,28008,28039,28588,
39128,33290,34786,32688,34882,20310,22030,32746,32055,29366,16657,29392,28051,28039,28574,
39179,33332,34779,32703,34923,20325,22051,32732,32064,29386,16594,29377,28008,27985,28574,
39230,33281,34809,32689,34970,20281,22072,32745,32086,29373,16594,29391,28008,27985,28567,
39281,33282,34787,32703,34910,20303,22058,32731,32071,29400,16601,29378,28051,28038,28581,
39332,33289,34856,32710,34916,20318,22072,32718,32063,29386,16671,29377,28023,28015,28588,
39383,33326,34810,32710,34909,20303,22065,32739,32102,29386,16629,29371,28015,28008,28581,
39433,33325,34771,32710,34937,20325,22065,32732,32071,29407,16587,29385,28001,28069,28574,
39484,33311,34794,32710,34957,20310,22044,32746,32086,29428,16636,29399,28001,28008,28588,
39535,33289,34787,32710,34943,20333,22065,32725,32101,29436,16565,29392,28008,28009,28574,
39586,33325,34763,32674,34896,20310,22079,32746,32133,29421,16601,29399,28015,28015,28581,
39637,33325,34802,32711,34903,20310,22065,32725,32094,29387,16636,29399,28001,28023,28602,
39688,33282,34810,32681,34937,20318,22044,32732,32079,29415,16615,29406,28015,27993,28581,
39739,33282,34779,32681,34923,20295,22037,32731,32070,29386,16629,29357,27993,28008,28560,
39790,33326,34810,32674,34964,20310,22037,32732,32124,29365,16700,29405,28001,28000,28588,
39841,33310,34763,32660,34923,20318,22051,32732,32063,29414,16593,29384,28008,27992,28581,
39891,33282,34825,32667,34943,20333,22094,32732,32071,29393,16579,29378,27987,28062,28581,
39942,33288,34795,32688,34902,20310,22051,32745,32117,29386,16622,29392,28001,28015,28581,
39993,33317,34787,32682,34883,20310,22087,32732,32078,29379,16679,29378,28015,28023,28574,
40043,33296,34771,32681,34930,20310,22129,32718,32132,29386,16594,29363,28022,28031,28581,
40094,33319,34778,32704,34909,20303,22094,32718,32086,29373,16600,29392,28001,27984,28574,
40145,33282,34802,32674,34957,20318,22072,32739,32078,29372,16629,29371,28015,28023,28574,
40196,33325,34787,32681,34923,20318,22065,32732,32086,29407,16636,29371,28015,28000,28595,
40246,33332,34748,32717,34910,20385,22065,32725,32102,29366,16650,29370,28001,28008,28588,
40297,33274,34787,32704,34896,20295,22058,32725,32094,29379,16664,29378,28008,27977,28574,
40348,33289,34848,32732,34903,20325,22058,32725,32094,29394,16601,29392,28022,28092,28581,
40398,33326,34771,32724,34889,20303,22044,32739,32078,29401,16601,29399,28023,28031,28588,
40449,33289,34802,32710,34970,20310,22065,32732,32063,29407,16579,29385,28001,28008,28581,
40500,33383,34787,32681,34896,20333,22037,32732,32102,29372,16650,29391,27979,28070,28588,
40551,33354,34786,32710,34882,20318,22051,32753,32086,29422,16601,29371,28030,27970,28581,
40602,33289,34779,32667,34902,20318,22058,32732,32087,29407,16643,29392,27986,28023,28581,
40654,33290,34771,32674,34909,20310,22058,32739,32064,29394,16643,29413,28008,28023,28588,
40705,33369,34810,32746,34875,20318,22086,32745,32047,29401,16594,29377,28008,28015,28574,
40756,33298,34763,32718,34902,20303,22065,32739,32079,29373,16629,29378,28001,28016,28567,
40806,33332,34779,32674,34882,20325,22044,32732,32094,29373,16622,29378,28008,28000,28581,
40858,33332,34825,32660,34883,20333,22058,32725,32101,29429,16586,29363,28037,28016,28588,
40922,33281,34771,32703,34896,20318,22065,32732,32070,29379,16622,29392,28087,28000,28574,
40997,33390,34794,32703,34903,20310,22072,32739,32102,29386,16693,29399,28001,28038,28588,
41048,33304,34779,32674,34875,20310,22058,32746,32062,29429,16608,29385,28008,28008,28574,
41100,33333,34802,32682,34903,20303,22065,32752,32048,29386,16601,29378,28001,28077,28574,
41150,33332,34849,32702,34895,20310,22086,32745,32094,29407,16650,29378,28023,28039,28588,
41202,33276,34779,32746,34889,20303,22051,32739,32079,29358,16586,29392,28001,28008,28581,
41253,33347,34825,32703,34889,20310,22065,32725,32117,29372,16657,29357,28015,28008,28574,
41304,33325,34810,32667,34875,20303,22094,32725,32040,29373,16579,29392,28008,28016,28601,
41354,33326,34778,32660,34903,20303,22087,32745,32102,29421,16678,29356,28001,28046,28581,
41406,33296,34802,32675,34889,20310,22065,32725,32102,29387,16650,29392,28015,28008,28588,
41457,33267,34794,32675,34896,20310,22065,32732,32095,29408,16650,29399,28023,28077,28567,
41508,33275,34763,32710,34923,20303,22051,32739,32064,29429,16608,29391,28001,28061,28567,
41559,33339,34802,32704,34896,20303,22044,32732,32087,29400,16601,29356,28030,28039,28588,
41609,33318,34801,32703,34855,20318,22080,32739,32094,29443,16580,29378,28030,28000,28581,
41660,33267,34779,32710,34943,20318,22072,32732,32086,29386,16579,29371,28036,28016,28581,
41711,33326,34833,32660,34882,20310,22079,32732,32093,29394,16587,29371,28016,28000,28567,
41762,33282,34779,32717,34875,20318,22065,32725,32071,29407,16601,29356,28037,27985,28574,
41813,33268,34756,32717,34896,20288,22058,32725,32079,29380,16600,29378,27994,28000,28594,
41863,33303,34756,32710,34882,20281,22058,32752,32064,29421,16601,29364,28015,28024,28581,
41914,33289,34779,32711,34950,20333,22058,32739,32071,29366,16565,29356,28015,28031,28581,
41965,33310,34779,32674,34943,20333,22044,32732,32071,29422,16587,29399,28001,28000,28588,
42016,33318,34849,32667,34930,20325,22044,32746,32102,29386,16586,29364,28015,28031,28574,
42068,33311,34771,32718,34943,20303,22051,32746,32056,29421,16608,29385,28023,28016,28595,
42118,33327,34740,32718,34869,20295,22108,32718,32049,29428,16615,29363,28023,28085,28595,
42169,33347,34787,32659,34882,20288,22058,32752,32063,29380,16537,29321,28044,28000,28581,
42220,33332,34732,32703,34903,20310,22030,32739,32048,29400,16593,29342,28023,28024,28574,
42270,33261,34772,32718,34862,20288,22030,32746,32072,29359,16530,29364,27994,28008,28588,
42321,33304,34810,32639,34876,20296,22044,32724,32072,29386,16551,29371,28001,28016,28595,
42372,33304,34787,32631,34896,20310,22101,32739,32064,29415,16579,29343,28008,27993,28574,
42423,33276,34810,32646,34780,20303,22094,32739,32126,29401,16466,29357,28023,28008,28574,
42474,33268,34872,32675,34780,20288,22087,32739,32133,29401,16516,29342,28030,28000,28567,
