time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
25306,32721,34130,32170,34218,20101,21830,32302,32698,30723,18602,31077,28374,29133,28875,
25358,32722,34122,32177,34225,20101,21845,32302,32706,30690,18602,31063,28411,29088,28910,
25409,32727,34137,32178,34273,20108,21809,32323,32706,30689,18588,31078,28432,29150,28903,
25460,32734,34161,32170,34273,20116,21830,32302,32722,30731,18588,31057,28425,29118,28902,
25510,32742,34122,32170,34246,20101,21866,32309,32675,30661,18630,31071,28432,29180,28903,
25561,32720,34169,32177,34219,20094,21824,32323,32706,30689,18659,31085,28411,29203,28924,
25612,32720,34176,32177,34246,20101,21838,32309,32684,30717,18609,31084,28447,29127,28924,
25663,32721,34138,32249,34239,20131,21824,32323,32691,30740,18602,31105,28396,29111,28909,
25714,32772,34184,32185,34239,20116,21873,32302,32721,30668,18658,31077,28446,29103,28917,
25765,32750,34106,32207,34246,20101,21845,32316,32744,30689,18623,31071,28397,29111,28924,
25816,32743,34145,32250,34266,20108,21831,32309,32707,30682,18588,31049,28403,29126,28917,
25867,32829,34138,32170,34246,20116,21830,32302,32699,30697,18624,31078,28411,29127,28924,
25918,32742,34153,32213,34260,20093,21844,32316,32691,30689,18595,31084,28454,29141,28910,
25969,32728,34176,32221,34239,20101,21866,32316,32714,30710,18609,31078,28454,29157,28917,
26020,32721,34138,32163,34232,20108,21816,32309,32683,30683,18610,31057,28425,29111,28923,
26071,32750,34145,32227,34259,20101,21810,32330,32752,30668,18602,31071,28403,29104,28917,
26121,32800,34114,32271,34293,20108,21866,32323,32684,30710,18616,31064,28446,29134,28917,
26173,32727,34160,32171,34225,20116,21866,32302,32745,30682,18602,31078,28396,29119,28924,
26223,32728,34153,32171,34307,20108,21816,32316,32691,30696,18631,31070,28411,29226,28917,
26274,32750,34145,32213,34252,20086,21845,32316,32691,30752,18602,31077,28446,29096,28917,
26325,32778,34168,32177,34246,20093,21838,32309,32737,30689,18645,31092,28403,29134,28910,
26376,32807,34153,32235,34239,20101,21845,32302,32715,30682,18595,31064,28425,29103,28903,
26427,32737,34176,32235,34219,20101,21809,32309,32761,30745,18673,31099,28403,29111,28910,
26478,32771,34130,32178,34225,20108,21852,32309,32775,30710,18617,31099,28425,29134,28924,
26529,32757,34114,32171,34219,20101,21838,32309,32738,30711,18581,31127,28418,29111,28917,
26585,32822,34115,32164,34259,20086,21866,32295,32713,30697,18624,31056,28425,29134,28910,
26642,32778,34130,32185,34307,20101,21844,32309,32698,30689,18609,31057,28410,29126,28903,
26693,32765,34215,32213,34219,20108,21831,32309,32684,30704,18602,31092,28410,29119,28924,
26744,32779,34138,32228,34232,20108,21866,32316,32706,30773,18595,31050,28396,29126,28924,
26795,32735,34145,32155,34212,20101,21887,32323,32706,30759,18631,31064,28425,29119,28903,
26846,32757,34130,32163,34259,20108,21823,32309,32707,30675,18588,31078,28410,29134,28924,
26897,32707,34137,32184,34226,20101,21838,32309,32729,30773,18609,31085,28417,29126,28917,
26948,32785,34153,32235,34225,20101,21852,32323,32706,30717,18659,31071,28417,29119,28896,
26999,32764,34153,32184,34246,20116,21809,32309,32729,30731,18595,31064,28432,29165,28910,
27050,32786,34161,32156,34246,20108,21831,32302,32715,30689,18588,31056,28439,29096,28910,
27102,32744,34138,32200,34252,20116,21866,32309,32745,30703,18638,31071,28403,29096,28910,
27153,32721,34137,32177,34219,20116,21831,32322,32736,30676,18623,31099,28425,29126,28917,
27204,32750,34176,32256,34259,20116,21852,32316,32707,30676,18637,31085,28439,29111,28917,
27255,32757,34176,32191,34246,20108,21816,32302,32752,30751,18623,31120,28439,29111,28902,
27306,32735,34153,32178,34225,20108,21802,32316,32736,30766,18680,31113,28418,29119,28924,
27357,32758,34138,32242,34273,20101,21838,32316,32737,30725,18616,31085,28439,29134,28917,
27408,32735,34161,32213,34306,20116,21837,32309,32713,30709,18666,31043,28410,29103,28931,
27459,32815,34138,32177,34232,20093,21795,32323,32713,30689,18595,31092,28425,29195,28917,
27510,32727,34138,32250,34239,20101,21880,32323,32683,30731,18609,31071,28396,29133,28917,
27562,32785,34137,32228,34239,20101,21816,32309,32691,30738,18602,31091,28418,29127,28917,
27613,32779,34176,32235,34232,20116,21873,32323,32698,30738,18623,31092,28417,29134,28917,
27664,32736,34168,32185,34253,20093,21838,32316,32722,30718,18609,31092,28439,29119,28910,
27715,32727,34122,32221,34225,20086,21809,32309,32698,30725,18602,31085,28403,29081,28917,
27766,32757,34207,32185,34266,20116,21880,32323,32714,30689,18624,31085,28454,29172,28910,
27817,32822,34200,32235,34266,20116,21837,32316,32752,30696,18645,31085,28403,29127,28903,
27867,32691,34238,32171,34300,20108,21809,32295,32684,30780,18588,31070,28410,29142,28917,
27919,32706,34161,32264,34246,20101,21845,32316,32721,30696,18574,31148,28417,29188,28924,
27970,32743,34153,32178,34266,20093,21908,32330,32699,30703,18616,31169,28396,29112,28924,
28021,32756,34138,32214,34226,20108,21852,32302,32692,30690,18553,31240,28439,29111,28938,
28072,32756,34153,32163,34205,20108,21802,32330,32699,30696,18623,31255,28446,29157,28917,
28123,32757,34138,32221,34252,20101,21852,32309,32691,30675,18482,31367,28454,29149,28924,
28174,32720,34145,32220,34239,20123,21837,32330,32729,30675,18433,31479,28417,29126,28909,
28225,32743,34091,32178,34219,20108,21823,32309,32707,30675,18398,31593,28353,29119,28938,
28276,32714,34130,32177,34233,20116,21845,32302,32729,30696,18391,31692,28403,29119,28917,
28327,32772,34168,32228,34246,20101,21852,32323,32722,30654,18285,31853,28360,29134,28938,
28378,32757,34122,32170,34259,20123,21873,32309,32744,30703,18242,32961,28346,29134,28938,
28429,32756,34161,32192,34212,20101,21809,32330,32683,30668,18235,33779,28288,29203,28938,
28479,32822,34130,32227,34233,20086,21880,32302,32767,30661,18249,34654,28303,29135,28952,
28530,32699,34107,32235,34252,20101,21873,32316,32737,30633,18271,35711,28281,29156,28952,
28581,32763,34169,32192,34232,20138,21816,32295,32752,30661,18207,37990,28260,29119,28945,
28632,32713,34168,32170,34273,20116,21866,32295,32729,30633,18179,38879,28246,29110,28958,
28683,32821,34122,32250,34226,20101,21824,32323,32676,30633,18221,39966,28274,29135,28938,
28734,32735,34122,32234,34225,20101,21859,32316,32692,30661,18271,41016,28217,29134,28959,
28787,32756,34138,32242,34252,20116,21809,32302,32760,30725,18285,43084,28195,29172,28944,
28837,32750,34145,32170,34300,20131,21823,32316,32744,30626,18292,44163,28195,29111,28952,
28889,32700,34184,32242,34239,20108,21845,32316,32706,30654,18292,45081,28131,29127,28959,
28939,32699,34145,32249,34225,20116,21816,32309,32728,30613,18278,45744,28123,29119,28952,
28990,32735,34153,32234,34273,20101,21823,32323,32684,30662,18263,45596,28145,29096,28958,
29041,32749,34129,32191,34232,20093,21809,32330,32721,30648,18263,45701,28137,29173,28938,
29092,32757,34176,32199,34273,20108,21873,32309,32752,30633,18278,45729,28173,29172,28951,
29143,32763,34153,32206,34266,20116,21823,32302,32713,30605,18264,45786,28131,29104,28959,
29194,32764,34176,32228,34280,20094,21838,32316,32698,30696,18299,45745,28152,29134,28952,
29245,32742,34130,32214,34232,20086,21852,32316,32714,30654,18242,45851,28109,29149,28966,
29295,32720,34145,32192,34226,20101,21817,32330,32760,30619,18278,45757,28116,29126,28966,
29346,32706,34145,32214,34246,20108,21802,32302,32729,30626,18285,45744,28138,29196,28959,
29397,32749,34184,32213,34300,20108,21859,32316,32691,30591,18256,45801,28102,29134,28952,
29448,32749,34153,32242,34225,20101,21816,32316,32714,30612,18299,45724,28116,29126,28952,
29499,32778,34176,32199,34232,20116,21831,32330,32683,30626,18249,45673,28130,29127,28937,
29550,32750,34106,32220,34239,20108,21823,32309,32699,30682,18277,45687,28109,29165,28952,
29601,32771,34145,32213,34219,20108,21844,32316,32706,30640,18235,45666,28173,29118,28966,
29652,32800,34191,32191,34219,20108,21831,32316,32737,30675,18278,45667,28109,29119,28938,
29702,32729,34161,32184,34253,20101,21838,32302,32729,30626,18222,45631,28166,29180,28945,
29753,32750,34176,32206,34226,20116,21915,32309,32667,30619,18249,45646,28181,29119,28959,
29803,32750,34176,32170,34287,20116,21816,32309,32752,30647,18256,45674,28131,29119,28945,
29854,32756,34138,32185,34279,20093,21809,32302,32691,30605,18249,45624,28159,29149,28966,
29905,32706,34107,32177,34280,20116,21817,32309,32715,30640,18270,45603,28166,29134,28938,
29956,32765,34098,32249,34253,20108,21809,32323,32730,30590,18271,45568,28109,29134,28945,
30007,32713,34160,32206,34232,20086,21816,32295,32706,30648,18263,45596,28116,29103,28945,
30057,32742,34122,32221,34226,20116,21838,32309,32691,30703,18256,45581,28116,29142,28959,
30108,32757,34153,32213,34226,20093,21845,32316,32753,30619,18243,45576,28123,29126,28945,
30159,32727,34200,32242,34226,20116,21866,32316,32722,30612,18306,45547,28137,29172,28938,
30210,32771,34153,32256,34239,20116,21866,32309,32714,30605,18271,45610,28109,29180,28952,
30261,32721,34145,32206,34219,20101,21880,32309,32722,30612,18243,45561,28109,29104,28945,
30312,32756,34129,32249,34259,20101,21831,32316,32698,30612,18271,45582,28181,29233,28938,
30363,32771,34138,32192,34225,20116,21831,32309,32721,30648,18221,45567,28138,29165,28951,
30414,32727,34161,32177,34280,20116,21830,32316,32706,30626,18299,45518,28102,29149,28945,
30465,32821,34145,32178,34280,20101,21838,32316,32714,30627,18299,45589,28166,29119,28945,
30516,32771,34161,32199,34218,20093,21831,32309,32698,30625,18235,45574,28152,29127,28959,
30567,32735,34161,32192,34286,20108,21845,32323,32691,30626,18235,45554,28138,29134,28938,
30618,32727,34153,32163,34260,20108,21809,32323,32714,30640,18271,45540,28138,29188,28952,
30669,32742,34138,32221,34293,20108,21866,32309,32699,30613,18235,45526,28130,29203,28938,
30720,32815,34153,32250,34226,20101,21845,32330,32691,30620,18263,45547,28116,29112,28944,
30771,32706,34153,32184,34253,20131,21809,32295,32737,30662,18263,45505,28188,29188,28965,
30821,32720,34137,32214,34253,20101,21823,32309,32722,30682,18277,45511,28159,29142,28945,
30872,32734,34099,32249,34252,20108,21859,32302,32682,30613,18235,45490,28131,29203,28945,
30923,32713,34176,32199,34219,20093,21873,32309,32707,30619,18228,45540,28174,29112,28951,
30974,32743,34153,32221,34252,20101,21838,32309,32728,30654,18278,45499,28173,29096,28944,
31024,32749,34145,32249,34226,20093,21830,32323,32706,30640,18271,45483,28123,29134,28952,
31075,32764,34122,32228,34225,20101,21830,32323,32713,30648,18263,45491,28145,29149,28945,
31126,32807,34145,32198,34239,20123,21831,32316,32775,30696,18327,45484,28137,29104,28945,
31177,32763,34192,32163,34259,20079,21845,32316,32698,30619,18256,45477,28152,29142,28958,
31228,32735,34153,32163,34273,20116,21866,32316,32691,30669,18271,45455,28159,29158,28959,
31278,32771,34138,32170,34239,20093,21845,32323,32744,30619,18214,45469,28173,29119,28931,
31329,32821,34145,32199,34287,20101,21809,32316,32729,30605,18235,45469,28181,29111,28965,
31380,32735,34176,32207,34232,20101,21852,32302,32706,30641,18235,45483,28123,29180,28959,
31431,32743,34168,32185,34286,20108,21873,32302,32744,30689,18242,45461,28116,29134,28959,
31483,32764,34161,32213,34212,20101,21816,32302,32683,30627,18271,45469,28123,29119,28944,
31534,32756,34176,32271,34300,20108,21831,32302,32721,30724,18221,45476,28131,29172,28966,
31584,32757,34200,32177,34286,20108,21859,32302,32707,30668,18228,45469,28131,29172,28966,
31635,32757,34161,32221,34239,20108,21852,32323,32722,30612,18235,45511,28159,29149,28966,
