time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
236753,33709,35567,33036,35710,21164,22958,34116,32428,29794,16941,29644,28515,28671,29099,
236805,33625,35478,33033,35728,21223,22992,34035,32325,29790,16870,29621,28463,28592,29053,
236856,33662,35493,33003,35673,21215,22984,34035,32377,29718,16834,29606,28441,28654,29046,
236907,33646,35461,32982,35693,21193,22970,34042,32439,29711,16905,29621,28484,28631,29046,
236958,33625,35492,33004,35680,21208,23006,34041,32377,29760,16905,29635,28456,28661,29032,
237010,33589,35470,33018,35727,21223,22991,34027,32408,29725,16841,29606,28448,28623,29053,
237061,33625,35454,32989,35687,21216,22977,34027,32377,29795,16919,29599,28420,28592,29039,
237112,33618,35484,33018,35674,21201,22970,34020,32346,29733,16877,29614,28427,28592,29038,
237163,33676,35485,33033,35666,21283,23006,34034,32370,29760,16869,29620,28463,28623,29039,
237215,33617,35516,33011,35666,21200,22977,34041,32330,29739,16876,29628,28455,28607,29046,
237265,33624,35469,33047,35653,21223,22977,34034,32393,29725,16862,29613,28434,28631,29032,
237317,33625,35461,33010,35727,21253,22991,34035,32338,29739,16855,29649,28499,28600,29039,
237368,33618,35461,33040,35666,21312,23048,34034,32323,29712,16855,29614,28456,28608,29038,
237418,33625,35446,33024,35659,21200,23041,34041,32376,29745,16876,29600,28463,28638,29045,
237469,33668,35461,32989,35700,21208,22984,34041,32354,29703,16898,29614,28434,28623,29039,
237521,33661,35469,33004,35686,21298,22970,34035,32355,29781,16905,29621,28441,28630,29045,
237572,33603,35477,32989,35652,21193,22992,34041,32361,29731,16877,29614,28449,28654,29031,
237623,33624,35485,33047,35741,21245,22984,34035,32376,29775,16926,29592,28420,28607,29052,
237674,33610,35453,33018,35652,21215,22977,34020,32346,29775,16869,29649,28434,28577,29059,
237725,33625,35485,33011,35659,21238,22977,34028,32331,29795,16834,29635,28441,28661,29038,
237776,33639,35446,33018,35707,21193,22984,34027,32345,29760,16869,29628,28449,28646,29046,
237827,33646,35500,33005,35666,21186,22984,34027,32353,29711,16891,29628,28455,28645,29053,
237878,33567,35493,33047,35680,21275,22963,34034,32331,29725,16862,29614,28434,28638,29052,
237929,33603,35500,32983,35707,21201,22999,34034,32339,29781,16919,29614,28498,28631,29032,
237980,33603,35454,32976,35666,21193,22984,34035,32345,29774,16898,29606,28463,28623,29031,
238031,33617,35430,33011,35659,21193,22977,34034,32315,29760,16862,29614,28441,28623,29039,
238081,33610,35477,32990,35666,21201,22991,34027,32339,29704,16855,29614,28448,28585,29053,
238131,33603,35454,33047,35646,21193,22970,34041,32360,29725,16876,29614,28441,28615,29032,
238182,33611,35470,32989,35666,21200,22985,34028,32330,29739,16862,29599,28427,28592,29039,
238233,33632,35493,33076,35672,21215,23056,34027,32315,29746,16855,29642,28448,28607,29046,
238284,33610,35462,33004,35687,21201,22984,34020,32345,29774,16898,29607,28456,28607,29038,
238335,33624,35453,33047,35686,21200,22977,34048,32330,29809,16891,29613,28477,28600,29067,
238386,33639,35469,33054,35652,21208,22999,34021,32346,29808,16869,29606,28434,28592,29039,
238436,33646,35453,32996,35727,21215,22999,34041,32346,29753,16877,29614,28434,28585,29045,
238487,33618,35477,32996,35659,21193,22991,34021,32369,29746,16898,29606,28434,28631,29046,
238538,33580,35469,32996,35686,21245,22984,34034,32376,29752,16855,29600,28434,28615,29038,
238589,33625,35485,33025,35646,21215,22984,34041,32345,29704,16862,29621,28434,28600,29046,
238640,33610,35461,32982,35679,21201,22977,34027,32338,29767,16862,29614,28434,28615,29053,
238691,33631,35461,33003,35673,21193,22977,34034,32308,29760,16862,29621,28455,28638,29046,
238742,33618,35470,33026,35748,21223,22984,34028,32423,29795,16862,29606,28426,28585,29025,
238793,33624,35454,33018,35659,21193,22999,34027,32438,29795,16862,29621,28470,28584,29032,
238844,33624,35485,33004,35666,21297,22984,34021,32338,29718,16898,29620,28419,28592,29039,
238894,33675,35469,33011,35713,21253,22956,34027,32461,29712,16905,29614,28456,28638,29039,
238946,33610,35477,33048,35680,21200,22984,34027,32330,29718,16876,29614,28484,28630,29053,
238997,33669,35461,33054,35666,21208,22977,34027,32369,29753,16841,29614,28462,28593,29024,
239048,33668,35485,33068,35666,21200,22970,34027,32392,29732,16884,29606,28434,28584,29046,
239099,33610,35469,33040,35659,21253,22984,34027,32376,29725,16848,29614,28420,28600,29053,
239150,33661,35500,33047,35686,21178,22956,34041,32347,29781,16883,29613,28412,28631,29031,
239201,33633,35493,33018,35673,21223,22992,34035,32384,29718,16855,29614,28455,28623,29038,
239252,33631,35461,33011,35713,21215,22998,34048,32338,29746,16912,29606,28419,28592,29046,
239303,33623,35469,33047,35707,21223,22984,34027,32353,29795,16891,29614,28469,28607,29046,
239354,33596,35493,33011,35721,21312,22984,34027,32438,29781,16919,29634,28462,28631,29038,
239404,33610,35477,32975,35666,21200,23020,34048,32330,29718,16834,29599,28448,28600,29052,
239456,33610,35446,33011,35754,21201,22984,34027,32345,29739,16877,29614,28470,28607,29031,
