time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
18520,33426,35227,32847,35491,21174,22899,33876,32128,29588,16822,29465,28308,28466,28921,
18574,33449,35226,32854,35477,21166,22906,33869,32121,29595,16857,29485,28301,28436,28900,
18624,33448,35210,32796,35484,21241,22935,33863,32128,29574,16794,29472,28337,28443,28907,
18676,33435,35218,32847,35478,21174,22935,33869,32167,29581,16871,29472,28344,28435,28914,
18727,33434,35219,32854,35451,21152,22935,33870,32136,29581,16857,29535,28351,28450,28907,
18778,33433,35218,32825,35539,21174,22921,33856,32204,29525,16793,29486,28344,28443,28914,
18829,33455,35242,32811,35491,21166,22885,33863,32213,29602,16793,29485,28344,28458,28900,
18881,33405,35258,32854,35498,21166,22906,33876,32136,29560,16807,29542,28308,28442,28914,
18932,33405,35226,32832,35478,21204,22935,33870,32129,29582,16786,29479,28316,28466,28907,
18983,33419,35234,32869,35477,21174,22899,33863,32220,29560,16807,29486,28337,28489,28914,
19034,33477,35250,32839,35532,21166,22906,33862,32174,29539,16808,29479,28301,28427,28907,
19085,33391,35226,32832,35505,21204,22927,33869,32128,29616,16836,29486,28380,28489,28900,
19136,33441,35211,32811,35478,21226,22906,33862,32182,29581,16843,29486,28344,28481,28914,
19186,33434,35281,32818,35525,21159,22899,33862,32143,29553,16808,29479,28366,28435,28900,
19237,33427,35203,32847,35498,21248,22942,33869,32136,29616,16829,29493,28338,28481,28914,
19289,33455,35195,32818,35491,21174,22906,33883,32135,29546,16815,29471,28337,28458,28914,
19340,33426,35226,32840,35471,21166,22920,33877,32196,29525,16814,29500,28344,28466,28907,
19391,33440,35219,32876,35532,21159,22942,33862,32120,29596,16821,29479,28359,28458,28907,
19441,33449,35242,32811,35546,21174,22928,33856,32166,29539,16814,29479,28330,28511,28893,
19492,33412,35242,32854,35498,21181,22977,33869,32105,29559,16814,29543,28322,28443,28907,
19543,33420,35234,32847,35464,21182,22920,33849,32128,29567,16857,29472,28315,28473,28907,
19593,33448,35226,32833,35498,21182,22928,33862,32120,29510,16793,29549,28315,28443,28886,
19645,33441,35273,32840,35539,21159,22935,33862,32135,29589,16829,29500,28337,28466,28900,
19695,33389,35211,32869,35484,21189,22921,33856,32128,29545,16793,29557,28315,28450,28879,
19746,33463,35226,32832,35478,21167,22913,33870,32135,29587,16843,29478,28373,28428,28886,
19800,33441,35219,32825,35539,21181,22906,33863,32136,29525,16850,29493,28366,28474,28900,
19858,33419,35219,32826,35526,21166,22914,33863,32166,29546,16822,29486,28373,28489,28886,
19908,33470,35219,32854,35464,21159,22927,33862,32136,29623,16808,29486,28337,28450,28893,
19959,33441,35218,32833,35478,21159,22906,33870,32128,29553,16822,29479,28337,28466,28900,
20010,33418,35273,32840,35512,21189,22913,33870,32136,29617,16871,29479,28351,28443,28907,
20062,33448,35227,32847,35511,21174,22913,33856,32120,29609,16885,29472,28294,28451,28893,
20113,33426,35265,32825,35511,21174,22913,33842,32174,29589,16800,29479,28323,28443,28907,
20198,33448,35211,32869,35491,21189,22921,33856,32127,29567,16800,29493,28308,28443,28907,
20284,33435,35250,32839,35504,21174,22899,33862,32128,29553,16829,29486,28323,28451,28894,
20335,33427,35203,32833,35484,21159,22921,33856,32113,29532,16850,29465,28330,28481,28893,
20386,33434,35203,32876,35532,21166,22885,33863,32174,29560,16836,29479,28344,28443,28907,
20437,33397,35265,32862,35457,21271,22906,33863,32220,29581,16814,29464,28323,28466,28907,
20489,33456,35211,32862,35518,21166,22906,33862,32166,29623,16822,29500,28323,28458,28900,
20540,33441,35211,32825,35471,21174,22906,33869,32136,29581,16779,29486,28330,28489,28914,
20591,33404,35218,32818,35491,21166,22906,33856,32136,29560,16843,29472,28330,28450,28907,
20642,33390,35274,32826,35484,21301,22920,33856,32128,29574,16829,29479,28344,28465,28900,
20694,33419,35211,32825,35539,21159,22907,33869,32121,29574,16850,29493,28323,28481,28907,
20745,33419,35219,32804,35519,21174,22906,33877,32159,29546,16829,29486,28323,28450,28921,
20797,33426,35211,32826,35471,21166,22927,33876,32136,29602,16836,29514,28308,28512,28900,
20848,33390,35219,32847,35477,21181,22913,33856,32128,29581,16836,29507,28337,28450,28900,
20900,33418,35311,32825,35477,21293,22913,33869,32165,29574,16822,29464,28344,28435,28907,
20951,33456,35211,32818,35450,21233,22906,33877,32113,29595,16864,29479,28351,28489,28907,
21002,33433,35234,32883,35477,21181,22935,33863,32113,29552,16800,29485,28337,28481,28900,
21053,33411,35226,32840,35525,21196,22921,33856,32144,29553,16843,29479,28330,28519,28886,
21105,33412,35218,32811,35511,21174,22921,33883,32197,29531,16850,29486,28373,28435,28900,
21156,33434,35218,32811,35532,21174,22935,33862,32128,29574,16815,29478,28316,28466,28907,
21207,33440,35234,32862,35477,21189,22913,33862,32136,29539,16807,29500,28315,28458,28907,
21259,33434,35257,32826,35464,21166,22906,33863,32135,29602,16800,29486,28315,28435,28900,
21310,33397,35234,32832,35478,21166,22935,33869,32128,29630,16850,29471,28315,28450,28900,
21362,33455,35226,32825,35525,21166,22920,33856,32143,29554,16786,29486,28301,28482,28907,
21413,33434,35288,32869,35485,21174,22913,33862,32128,29595,16814,29507,28351,28435,28893,
21464,33426,35226,32847,35532,21159,22920,33863,32182,29580,16793,29528,28330,28458,28907,
21515,33433,35226,32796,35471,21174,22928,33862,32119,29539,16850,29472,28316,28420,28914,
21566,33441,35273,32826,35477,21196,22906,33856,32128,29580,16822,29465,28308,28450,28879,
21617,33412,35203,32826,35559,21204,22906,33863,32158,29552,16871,29507,28337,28489,28893,
21667,33434,35226,32825,35505,21159,22913,33835,32190,29566,16779,29486,28322,28458,28900,
21718,33412,35257,32847,35444,21151,22942,33856,32135,29581,16850,29493,28344,28420,28907,
21769,33463,35234,32847,35457,21189,22942,33869,32136,29574,16814,29457,28315,28443,28900,
21820,33420,35257,32840,35484,21181,22921,33856,32144,29560,16800,29493,28330,28481,28900,
21871,33426,35265,32841,35463,21174,22920,33869,32151,29580,16822,29486,28316,28443,28893,
21922,33419,35304,32833,35491,21241,22949,33863,32128,29595,16786,29493,28358,28450,28886,
21973,33433,35249,32818,35470,21256,22935,33849,32135,29553,16815,29479,28373,28496,28900,
22025,33442,35226,32803,35491,21166,22913,33870,32128,29553,16829,29528,28330,28466,28893,
22076,33397,35211,32847,35485,21159,22921,33849,32120,29588,16857,29478,28337,28443,28900,
22126,33384,35203,32832,35477,21196,22892,33849,32121,29588,16786,29556,28330,28466,28893,
22177,33411,35250,32818,35498,21166,22906,33876,32151,29608,16800,29493,28337,28435,28907,
22229,33427,35289,32832,35498,21174,22892,33863,32175,29616,16822,29507,28323,28443,28907,
22280,33427,35234,32825,35505,21159,22942,33869,32121,29588,16800,29514,28337,28466,28914,
22331,33412,35203,32862,35512,21159,22928,33856,32120,29609,16800,29500,28322,28466,28907,
22382,33419,35280,32804,35478,21233,22913,33876,32136,29581,16885,29549,28358,28451,28907,
22433,33433,35211,32854,35485,21166,22928,33863,32128,29574,16857,29486,28330,28435,28900,
22484,33477,35219,32817,35518,21159,22899,33856,32112,29525,16814,29521,28322,28435,28907,
22535,33463,35210,32833,35450,21159,22928,33862,32105,29581,16843,29549,28316,28496,28879,
22586,33412,35289,32854,35478,21293,22899,33849,32128,29539,16843,29514,28358,28442,28907,
22638,33397,35234,32832,35470,21166,22913,33863,32136,29553,16843,29486,28359,28458,28900,
22688,33463,35227,32839,35464,21174,22928,33862,32121,29574,16800,29485,28351,28458,28893,
22739,33434,35195,32826,35464,21166,22956,33856,32128,29588,16843,29508,28344,28496,28893,
22790,33455,35226,32832,35491,21159,22913,33876,32135,29602,16807,29493,28380,28481,28921,
22842,33412,35203,32854,35498,21159,22892,33856,32120,29574,16836,29478,28337,28473,28900,
22893,33413,35250,32876,35443,21167,22921,33863,32205,29581,16814,29479,28330,28489,28907,
22944,33426,35227,32861,35511,21137,22935,33883,32173,29574,16850,29500,28315,28512,28900,
22995,33477,35219,32847,35505,21174,22899,33856,32120,29552,16807,29479,28308,28443,28907,
23046,33419,35211,32854,35478,21159,22920,33869,32174,29552,16793,29486,28323,28466,28893,
23097,33419,35195,32810,35471,21167,22927,33862,32121,29581,16822,29486,28329,28473,28907,
